label,area,time,cm_lat,cm_lon,mean,stdev,median,min_value,min_lat,min_lon
25,2812832.22392644,1993-03-15,139,290,-2.0316191310588407,0.35405282303708235,-1.9928946,-3.9657292,136,276
5,3891007.635202684,1993-03-16,76,374,-2.03762038047975,0.5245569601848461,-1.8882611,-4.116634,37,395
4,2911878.64893226,1993-03-17,55,400,-2.1022029036761642,0.6112211570069722,-1.8807474,-4.630021,36,397
4,1318793.7915140595,1993-03-18,36,396,-2.075671145699855,0.44056476785858417,-1.9301982,-3.3782787,37,394
7,1228100.8869252526,1993-03-19,43,395,-2.0235743968275393,0.49464550136572794,-1.8738744,-3.7541718,33,399
3,1229934.5099705504,1993-03-20,28,393,-2.1385793118680576,0.5781754269966118,-1.928196,-3.9210074,37,393
2,1190914.8190670626,1993-03-21,28,397,-2.2720402101878703,0.6488462550707491,-2.0515404,-4.3056097,37,398
1,572348.1315553326,1993-03-23,32,382,-2.16362464556049,0.43299280750577407,-2.124617,-3.1404836,40,391
5,1660874.639962094,1993-03-24,68,402,-2.0995855698475863,0.4860577335878565,-1.9672925,-3.9682493,89,408
2,950498.4765948203,1993-03-25,87,418,-1.8753139506215635,0.2208139731214549,-1.8526945,-2.4445336,86,403
6,856235.1514596505,1993-11-23,79,125,-2.190884956217615,0.42924666289517804,-2.1669643,-3.352833,83,108
1,1594324.8024596088,1993-11-24,95,140,-2.2209360874123507,0.570793873478697,-2.0897758,-4.7247586,88,112
7,1870522.0997372353,1993-11-25,104,152,-2.182985008864724,0.552087446316403,-2.0426307,-4.156374,101,138
6,1403190.7523616469,1993-11-26,117,157,-1.9614744573968552,0.3808756979744581,-1.8592335,-3.4354599,98,137
6,1545366.5624450839,1993-12-24,63,248,-1.7092466540721065,0.19124074642727923,-1.6421008,-2.656601,113,293
6,1975343.4027928046,1993-12-25,63,250,-1.730522005900166,0.16061236132458792,-1.7045472,-2.4043653,81,246
44,567245.9463443877,1993-12-25,167,180,-1.9086620681863322,0.2811352773357339,-1.8477473,-2.7545729,169,187
5,2978691.1091327905,1993-12-26,73,261,-1.9445174175919064,0.30311902290763487,-1.9132458,-3.3463259,95,264
13,3168689.6181154554,1993-12-27,89,275,-1.9446040365850437,0.3639728333747174,-1.8351831,-3.285764,111,292
13,2022932.044888209,1993-12-28,81,302,-1.9976566062385104,0.3557288511340529,-1.9489793,-2.9681747,94,310
7,2819080.2242421256,1993-12-29,76,321,-1.921388515928044,0.3457041443673195,-1.8060087,-3.0512228,113,294
13,1533163.2599978768,1993-12-30,63,341,-1.7975306349415934,0.21274363070588173,-1.7616782,-2.692226,85,339
46,961830.2638393765,1993-12-31,144,277,-1.7540409491012858,0.24873315694937315,-1.6977675,-3.0262918,128,286
11,2302359.777789245,1994-01-02,69,279,-1.7087270583246132,0.13952541502038807,-1.6925583,-2.2970107,84,253
4,669801.0416066664,1994-01-03,26,132,-1.7067074022208957,0.1502351084576342,-1.6807497,-2.283277,22,117
18,2663306.3363268054,1994-01-03,71,341,-1.986003477495964,0.45532865775057235,-1.8510981,-3.6899815,56,399
4,3480815.8907276234,1994-01-04,50,258,-1.9711674865242628,0.5067802128558183,-1.8106925,-4.0956306,57,402
11,2696773.9966183943,1994-01-05,55,188,-1.8563037841421743,0.23554578295947556,-1.8266367,-2.8035264,28,113
28,3451374.012146302,1994-01-06,67,214,-1.8096350959921974,0.2204342813829074,-1.7761273,-2.7392864,103,291
